grantee,table_schema,table_name,privilege_type
authenticated,public,sessions,SELECT
authenticated,public,sessions,TRIGGER
authenticated,public,sessions,TRUNCATE
authenticated,public,sessions,UPDATE
postgres,public,sessions,DELETE
postgres,public,sessions,INSERT
postgres,public,sessions,REFERENCES
postgres,public,sessions,SELECT
postgres,public,sessions,TRIGGER
postgres,public,sessions,TRUNCATE
postgres,public,sessions,UPDATE
service_role,public,sessions,DELETE
service_role,public,sessions,INSERT
service_role,public,sessions,REFERENCES
service_role,public,sessions,SELECT
service_role,public,sessions,TRIGGER
service_role,public,sessions,TRUNCATE
service_role,public,sessions,UPDATE
anon,public,sites,DELETE
anon,public,sites,INSERT
anon,public,sites,REFERENCES
anon,public,sites,SELECT
anon,public,sites,TRIGGER
anon,public,sites,TRUNCATE
anon,public,sites,UPDATE
authenticated,public,sites,DELETE
authenticated,public,sites,INSERT
authenticated,public,sites,REFERENCES
authenticated,public,sites,SELECT
authenticated,public,sites,TRIGGER
authenticated,public,sites,TRUNCATE
authenticated,public,sites,UPDATE
postgres,public,sites,DELETE
postgres,public,sites,INSERT
postgres,public,sites,REFERENCES
postgres,public,sites,SELECT
postgres,public,sites,TRIGGER
postgres,public,sites,TRUNCATE
postgres,public,sites,UPDATE
service_role,public,sites,DELETE
service_role,public,sites,INSERT
service_role,public,sites,REFERENCES
service_role,public,sites,SELECT
service_role,public,sites,TRIGGER
service_role,public,sites,TRUNCATE
service_role,public,sites,UPDATE
anon,public,stock,DELETE
anon,public,stock,INSERT
anon,public,stock,REFERENCES
anon,public,stock,SELECT
anon,public,stock,TRIGGER
anon,public,stock,TRUNCATE
anon,public,stock,UPDATE
authenticated,public,stock,DELETE
authenticated,public,stock,INSERT
authenticated,public,stock,REFERENCES
authenticated,public,stock,SELECT
authenticated,public,stock,TRIGGER
authenticated,public,stock,TRUNCATE
authenticated,public,stock,UPDATE
postgres,public,stock,DELETE
postgres,public,stock,INSERT
postgres,public,stock,REFERENCES
postgres,public,stock,SELECT
postgres,public,stock,TRIGGER
postgres,public,stock,TRUNCATE
postgres,public,stock,UPDATE
service_role,public,stock,DELETE
service_role,public,stock,INSERT
service_role,public,stock,REFERENCES
service_role,public,stock,SELECT
service_role,public,stock,TRIGGER
service_role,public,stock,TRUNCATE
service_role,public,stock,UPDATE
anon,public,stock_import_logs,DELETE
anon,public,stock_import_logs,INSERT
anon,public,stock_import_logs,REFERENCES
anon,public,stock_import_logs,SELECT
anon,public,stock_import_logs,TRIGGER
anon,public,stock_import_logs,TRUNCATE
anon,public,stock_import_logs,UPDATE
authenticated,public,stock_import_logs,DELETE
authenticated,public,stock_import_logs,INSERT
authenticated,public,stock_import_logs,REFERENCES
authenticated,public,stock_import_logs,SELECT
authenticated,public,stock_import_logs,TRIGGER
authenticated,public,stock_import_logs,TRUNCATE
authenticated,public,stock_import_logs,UPDATE
postgres,public,stock_import_logs,DELETE
postgres,public,stock_import_logs,INSERT
postgres,public,stock_import_logs,REFERENCES
postgres,public,stock_import_logs,SELECT
postgres,public,stock_import_logs,TRIGGER
postgres,public,stock_import_logs,TRUNCATE
postgres,public,stock_import_logs,UPDATE
service_role,public,stock_import_logs,DELETE
service_role,public,stock_import_logs,INSERT
service_role,public,stock_import_logs,REFERENCES
service_role,public,stock_import_logs,SELECT
service_role,public,stock_import_logs,TRIGGER
service_role,public,stock_import_logs,TRUNCATE
service_role,public,stock_import_logs,UPDATE
anon,public,user_site_access,DELETE
anon,public,user_site_access,INSERT
anon,public,user_site_access,REFERENCES
anon,public,user_site_access,SELECT
anon,public,user_site_access,TRIGGER
anon,public,user_site_access,TRUNCATE
anon,public,user_site_access,UPDATE
authenticated,public,user_site_access,DELETE
authenticated,public,user_site_access,INSERT
authenticated,public,user_site_access,REFERENCES
authenticated,public,user_site_access,SELECT
authenticated,public,user_site_access,TRIGGER
authenticated,public,user_site_access,TRUNCATE
authenticated,public,user_site_access,UPDATE
postgres,public,user_site_access,DELETE
postgres,public,user_site_access,INSERT
