schemaname,tablename,indexname,indexdef
public,empty_location_issues,idx_empty_location_issues_created_at,CREATE INDEX idx_empty_location_issues_created_at ON public.empty_location_issues USING btree (created_at DESC)
public,empty_location_issues,idx_empty_location_issues_status,CREATE INDEX idx_empty_location_issues_status ON public.empty_location_issues USING btree (status)
public,empty_location_issues,idx_empty_location_issues_zone,CREATE INDEX idx_empty_location_issues_zone ON public.empty_location_issues USING btree (zone)
public,entries,entries_approval_status_idx,CREATE INDEX entries_approval_status_idx ON public.entries USING btree (approval_status)
public,entries,entries_created_at_idx,CREATE INDEX entries_created_at_idx ON public.entries USING btree (created_at DESC)
public,entries,entries_location_idx,CREATE INDEX entries_location_idx ON public.entries USING btree (location)
public,entries,entries_pkey,CREATE UNIQUE INDEX entries_pkey ON public.entries USING btree (id)
public,entries,entries_session_id_idx,CREATE INDEX entries_session_id_idx ON public.entries USING btree (session_id)
public,entries,entries_sku_idx,CREATE INDEX entries_sku_idx ON public.entries USING btree (sku)
public,entries,entries_timestamp_idx,"CREATE INDEX entries_timestamp_idx ON public.entries USING btree (""timestamp"" DESC)"
public,entries,idx_entries_created,CREATE INDEX idx_entries_created ON public.entries USING btree (created_at DESC)
public,entries,idx_entries_location,CREATE INDEX idx_entries_location ON public.entries USING btree (location)
public,entries,idx_entries_operator,CREATE INDEX idx_entries_operator ON public.entries USING btree (operator)
public,entries,idx_entries_session,CREATE INDEX idx_entries_session ON public.entries USING btree (session_id)
public,entries,idx_entries_sku,CREATE INDEX idx_entries_sku ON public.entries USING btree (sku)
public,entries,idx_entries_type_timestamp,"CREATE INDEX idx_entries_type_timestamp ON public.entries USING btree (type, ""timestamp"" DESC)"
public,entries,idx_unique_operation,CREATE UNIQUE INDEX idx_unique_operation ON public.entries USING btree (operation_uuid)
public,export_config,export_config_pkey,CREATE UNIQUE INDEX export_config_pkey ON public.export_config USING btree (id)
public,export_config,export_config_site_id_unique,"CREATE UNIQUE INDEX export_config_site_id_unique ON public.export_config USING btree (COALESCE(site_id, '__global__'::text))"
